date,close,volume,open,high,low,symbol
2023-04-06,27.037,397654300,26.584,27.08,26.427,NVDA
2023-04-05,26.881,515014700,26.829,26.998,26.395,NVDA
2023-04-04,27.453,368591500,27.966,28.0,27.307,NVDA
2023-04-03,27.965,398715600,27.509,28.0,27.336,NVDA
2023-03-31,27.777,433932800,27.14,27.8343,27.105,NVDA
2023-03-30,27.383,364515700,27.229,27.499,27.102,NVDA
2023-03-29,26.984,393693900,26.825,27.078,26.597,NVDA
2023-03-28,26.41,356103800,26.447,26.513,25.85,NVDA
2023-03-27,26.531,361025700,26.837,27.0,26.365,NVDA
2023-03-24,26.779,455414100,27.031,27.167,26.355,NVDA
2023-03-23,27.191,564888800,27.1155,27.499,26.69,NVDA
2023-03-22,26.468,797295100,26.425,27.589,26.237,NVDA
2023-03-21,26.199,547407800,26.18,26.392,25.381,NVDA
2023-03-20,25.9,432747200,25.615,26.024,25.1298,NVDA
2023-03-17,25.725,848546600,25.982,26.399,25.668,NVDA
2023-03-16,25.541,584946300,24.027,25.588,23.894,NVDA
2023-03-15,24.228,524485700,23.761,24.286,23.36,NVDA
2023-03-14,24.063,474910100,23.496,24.219,23.46,NVDA
2023-03-13,22.966,421890300,22.752,23.298,22.297,NVDA
2023-03-10,22.965,474865700,23.409,23.627,22.726,NVDA
2023-03-09,23.436,501257000,24.175,24.454,23.3828,NVDA
2023-03-08,24.181,513573400,23.487,24.2,23.4235,NVDA
2023-03-07,23.288,515153900,23.6,24.125,23.241,NVDA
2023-03-06,23.554,437429200,23.891,24.248,23.487,NVDA
2023-03-03,23.89,412393300,23.32,23.9,23.13,NVDA
2023-03-02,23.314,390074700,22.488,23.3804,22.432,NVDA
2023-03-01,22.698,460025600,23.192,23.2556,22.508,NVDA
2023-02-28,23.216,455962800,23.372,23.825,23.206,NVDA
2023-02-27,23.501,452993700,23.67,23.8799,23.454,NVDA
2023-02-24,23.286,589715900,23.225,23.474,22.947,NVDA
2023-02-23,23.664,1117995000,23.44,23.888,23.025,NVDA
2023-02-22,20.754,513184300,20.707,21.104,20.421,NVDA
2023-02-21,20.655,410014600,21.0,21.4938,20.618,NVDA
2023-02-17,21.388,465887600,21.631,21.74,20.975,NVDA
2023-02-16,22.002,412026300,22.133,22.55,21.9268,NVDA
2023-02-15,22.764,421188300,22.549,22.855,22.106,NVDA
2023-02-14,22.971,675473500,21.578,23.0488,21.366,NVDA
2023-02-13,21.788,474918600,21.538,22.048,20.962,NVDA
2023-02-10,21.265,550736800,21.69,22.0776,20.811,NVDA
2023-02-09,22.337,523875800,22.606,23.02,22.12,NVDA
2023-02-08,22.205,559651200,22.387,22.878,22.008,NVDA
2023-02-07,22.173,664149600,21.382,22.259,21.15,NVDA
2023-02-06,21.089,452197100,20.806,21.57,20.786,NVDA
2023-02-03,21.1,429366000,21.0,21.745,20.789,NVDA
2023-02-02,21.709,564275800,21.0,21.949,20.7,NVDA
2023-02-01,20.943,660477000,19.691,21.192,19.611,NVDA
2023-01-31,19.537,498016600,19.1695,19.687,18.95,NVDA
2023-01-30,19.162,488611200,19.95,20.14,19.15,NVDA
2023-01-27,20.365,542142000,19.462,20.628,19.405,NVDA
2023-01-26,19.802,489535400,19.701,20.166,19.278,NVDA
2023-01-25,19.323,449537100,18.9125,19.37,18.58,NVDA
2023-01-24,19.265,496204100,18.827,19.495,18.82,NVDA
2023-01-23,19.193,655162600,18.064,19.245,17.8175,NVDA
2023-01-20,17.839,564967100,17.011,17.856,16.825,NVDA
2023-01-19,16.765,452931600,17.036,17.197,16.731,NVDA
2023-01-18,17.377,439623600,17.667,17.873,17.282,NVDA
2023-01-17,17.702,511102200,16.899,17.728,16.899,NVDA
2023-01-13,16.899,447287100,16.278,16.922,16.165,NVDA
2023-01-12,16.511,551409100,16.1,16.637,15.492,NVDA
2023-01-11,16.001,353284900,15.8395,16.028,15.563,NVDA
2023-01-10,15.909,384101300,15.507,15.962,15.472,NVDA
2023-01-09,15.628,504230600,15.284,16.056,15.141,NVDA
2023-01-06,14.859,405043600,14.474,15.01,14.034,NVDA
2023-01-05,14.265,389168100,14.491,14.564,14.148,NVDA
2023-01-04,14.749,431323600,14.567,14.853,14.241,NVDA
2023-01-03,14.315,401276600,14.851,14.996,14.096,NVDA
2022-12-30,14.614,310489800,14.334,14.629,14.233,NVDA
2022-12-29,14.603,354923200,14.402,14.683,14.227,NVDA
2022-12-28,14.036,351066500,13.927,14.262,13.884,NVDA
2022-12-27,14.121,464902300,15.074,15.1,14.056,NVDA
2022-12-23,15.206,349325600,15.196,15.339,14.883,NVDA
2022-12-22,15.339,565045300,16.0935,16.138,14.882,NVDA
2022-12-21,16.501,325025400,16.114,16.627,16.102,NVDA
2022-12-20,16.085,403259800,16.064,16.31,15.852,NVDA
2022-12-19,16.254,354038800,16.572,16.609,16.145,NVDA
